TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/10/18
TIME,18:47:16
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.41798
MAXY,     0.75010
MINY,     0.41378
XYDATA
814.6000,0.456241
814.4000,0.455802
814.2000,0.455713
814.0000,0.455716
813.8000,0.455643
813.6000,0.45607
813.4000,0.456154
813.2000,0.455688
813.0000,0.455658
812.8000,0.455609
812.6000,0.455775
812.4000,0.456484
812.2000,0.456584
812.0000,0.456001
811.8000,0.455933
811.6000,0.456143
811.4000,0.455852
811.2000,0.455982
811.0000,0.456085
810.8000,0.455805
810.6000,0.45603
810.4000,0.456506
810.2000,0.456406
810.0000,0.456265
809.8000,0.456233
809.6000,0.456294
809.4000,0.45659
809.2000,0.456101
809.0000,0.456155
808.8000,0.45643
808.6000,0.456546
808.4000,0.45674
808.2000,0.456215
808.0000,0.455963
807.8000,0.456317
807.6000,0.456343
807.4000,0.456173
807.2000,0.456249
807.0000,0.456806
806.8000,0.456667
806.6000,0.456242
806.4000,0.456501
806.2000,0.4566
806.0000,0.456838
805.8000,0.457037
805.6000,0.456713
805.4000,0.456789
805.2000,0.457012
805.0000,0.457043
804.8000,0.457092
804.6000,0.4567
804.4000,0.456425
804.2000,0.456755
804.0000,0.457148
803.8000,0.456968
803.6000,0.456759
803.4000,0.456667
803.2000,0.456561
803.0000,0.456768
802.8000,0.456883
802.6000,0.457119
802.4000,0.4573
802.2000,0.457161
802.0000,0.457248
801.8000,0.457087
801.6000,0.456985
801.4000,0.456989
801.2000,0.456924
801.0000,0.457048
800.8000,0.457339
800.6000,0.457373
800.4000,0.457081
800.2000,0.456766
800.0000,0.456862
799.8000,0.456952
799.6000,0.457001
799.4000,0.45733
799.2000,0.457162
799.0000,0.45681
798.8000,0.456858
798.6000,0.45728
798.4000,0.457453
798.2000,0.457209
798.0000,0.457232
797.8000,0.457396
797.6000,0.457594
797.4000,0.457751
797.2000,0.45742
797.0000,0.457252
796.8000,0.457443
796.6000,0.457479
796.4000,0.457239
796.2000,0.457225
796.0000,0.457486
795.8000,0.457489
795.6000,0.457534
795.4000,0.457331
795.2000,0.457439
795.0000,0.457683
794.8000,0.457275
794.6000,0.457229
794.4000,0.457249
794.2000,0.457431
794.0000,0.457697
793.8000,0.457651
793.6000,0.457421
793.4000,0.457507
793.2000,0.457897
793.0000,0.457511
792.8000,0.457357
792.6000,0.457742
792.4000,0.457512
792.2000,0.457258
792.0000,0.457519
791.8000,0.457471
791.6000,0.457245
